Membership No  Date Joined  Active  
    36769      2018-8-2     no    
    46995      2019-1-23    no    
    40077      2017-8-5     no    
    25774      2019-11-24   no    
    49512      2019-8-4     no    
    59914      2017-3-1     no    
    24151      2016-1-7     no    
    44484      2015-11-12   no    
    83543      2015-1-22    no    
    57144      2020-8-12    no    
    49367      2018-9-20    no    
    76919      2016-6-15    no    
    45765      2020-11-25   no    
    82653      2017-2-1     no    
    31974      2019-10-20   no    
